Customer_ID,Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
C000036,32,732701,52400,7,6,9.6,1,Business Loan,0,0,0.0,3,172850,0.12,8Y 2M,Yes,4156,7871,Medium,17970,Good
C000037,64,954491,82399,10,0,22.6,5,"Education Loan, Business Loan, Credit Builder Loan, Auto Loan, Home Loan",0,0,0.33,7,249838,0.34,42Y 6M,No,2967,0,Medium,51381,Standard
C000038,68,400156,29270,8,2,20.9,2,"Auto Loan, Business Loan",23,6,0.78,2,105430,0.15,46Y 7M,No,1259,0,Medium,8421,Poor
C000039,61,920833,75257,10,7,20.3,2,"Education Loan, Home Loan",0,0,0.59,0,250579,0.31,37Y 8M,Yes,6472,0,Medium,24068,Good
C000040,69,348924,28340,9,3,10.0,5,"Home Loan, Credit Builder Loan, Auto Loan, Personal Loan, Business Loan",0,0,0.94,2,96229,0.87,48Y 9M,Yes,1539,1599,High,12113,Good
C000041,20,756083,57423,3,6,15.9,1,Credit Builder Loan,0,0,0.83,0,163067,0.69,0Y 10M,Yes,2197,7637,High,7888,Good
C000042,54,927277,63471,5,2,12.1,2,"Education Loan, Business Loan",0,0,0.12,1,233531,0.61,31Y 1M,Yes,6481,11962,Medium,10626,Good
C000043,68,1210405,97689,10,3,17.6,0,None,29,2,0.86,1,237045,0.9,50Y 11M,No,4530,0,Low,62687,Poor
C000044,24,485817,44195,3,0,16.1,2,"Home Loan, Education Loan",0,0,0.5,2,40697,0.74,2Y 5M,No,501,8727,Medium,13415,Poor
C000045,38,436646,32026,5,3,9.4,1,Education Loan,0,0,0.52,1,79713,0.14,20Y 10M,Yes,1468,5167,High,10817,Good
C000046,26,570420,47700,2,0,17.9,2,"Business Loan, Education Loan",4,5,0.92,0,138489,0.84,5Y 7M,Yes,3534,0,Medium,16249,Standard
C000047,56,1461985,102418,3,1,6.7,3,"Business Loan, Personal Loan, Home Loan",0,0,0.02,5,306256,0.57,38Y 10M,No,8975,16561,Medium,29714,Standard
C000048,35,631037,50668,7,3,7.3,2,"Credit Builder Loan, Home Loan",0,0,0.31,6,71777,0.55,12Y 6M,No,2077,0,Medium,27659,Poor
C000049,21,1091819,93189,8,2,9.5,0,None,0,0,0.01,2,84952,0.6,2Y 11M,Yes,2016,15822,High,37014,Good
C000050,42,459601,31081,5,6,17.0,5,"Credit Builder Loan, Business Loan, Personal Loan, Education Loan, Auto Loan",0,0,0.16,3,122546,0.18,23Y 11M,No,1265,4287,High,14214,Good
C000051,31,256334,22370,3,7,20.4,0,None,26,1,0.88,2,36709,0.72,12Y 7M,No,751,4114,Low,8872,Poor
C000052,67,272950,19056,4,4,20.9,2,"Home Loan, Personal Loan",0,0,0.43,0,50255,0.59,44Y 1M,No,972,0,High,5379,Standard
C000053,26,654642,50825,3,2,11.3,4,"Education Loan, Auto Loan, Credit Builder Loan, Home Loan",0,0,0.86,3,164918,0.28,1Y 6M,Yes,2867,0,High,28423,Good
C000054,43,402988,30606,3,5,13.3,3,"Credit Builder Loan, Personal Loan, Auto Loan",0,0,0.05,6,48254,0.36,18Y 11M,Yes,613,0,Medium,16194,Good
C000055,19,1000534,77195,9,6,10.4,2,"Business Loan, Home Loan",19,5,0.22,5,159679,0.27,0Y 10M,Yes,3330,4562,Low,19781,Poor
C000056,37,860024,70867,4,4,6.7,3,"Credit Builder Loan, Personal Loan, Auto Loan",5,3,0.82,7,203883,0.45,19Y 8M,No,3284,6466,Low,12005,Poor
C000057,45,352032,28380,6,7,15.4,0,None,8,5,0.86,2,61281,0.76,24Y 11M,Yes,1435,0,Medium,16128,Poor
C000058,64,618691,52103,3,2,16.4,4,"Auto Loan, Personal Loan, Credit Builder Loan, Business Loan",23,4,0.55,3,102906,0.84,39Y 4M,Yes,1662,9106,Low,8868,Poor
C000059,24,425320,34681,8,7,23.8,2,"Business Loan, Home Loan",0,0,0.06,1,101270,0.55,5Y 4M,Yes,2728,0,Medium,15903,Standard
C000060,61,739324,58942,11,3,19.5,3,"Business Loan, Personal Loan, Education Loan",14,3,0.61,0,200032,0.68,40Y 1M,Yes,2134,8846,Medium,10106,Standard
C000061,25,832932,70302,4,1,23.8,1,Home Loan,1,4,0.86,6,71947,0.19,5Y 9M,No,794,6928,Medium,37260,Standard
C000062,64,436736,35718,8,5,11.3,5,"Home Loan, Personal Loan, Business Loan, Credit Builder Loan, Education Loan",2,3,0.38,7,129794,0.78,42Y 5M,Yes,1839,0,Low,10944,Poor
C000063,52,1080606,92852,2,3,19.8,2,"Auto Loan, Business Loan",12,2,0.13,7,189072,0.63,31Y 2M,No,2041,9968,Low,43541,Poor
C000064,31,1459105,108208,9,0,17.4,1,Home Loan,0,0,0.45,5,284900,0.62,13Y 1M,No,7187,21639,Medium,6612,Standard
C000065,34,1355290,105083,2,1,11.6,0,None,0,0,0.6,5,85523,0.4,14Y 8M,Yes,1967,10652,High,35190,Good
C000066,53,1463859,97918,3,6,10.0,4,"Home Loan, Education Loan, Credit Builder Loan, Personal Loan",4,6,0.82,1,264119,0.36,33Y 10M,No,3780,10530,Medium,29501,Standard
C000067,67,751467,51920,3,5,11.5,4,"Auto Loan, Credit Builder Loan, Education Loan, Personal Loan",0,0,0.89,5,155173,0.87,45Y 5M,Yes,1877,0,High,32749,Good
C000068,57,430787,34019,5,3,24.6,2,"Auto Loan, Personal Loan",0,0,0.62,2,109303,0.45,36Y 9M,Yes,1695,3230,High,18861,Good
C000069,21,1430202,96881,3,1,6.4,4,"Business Loan, Credit Builder Loan, Education Loan, Home Loan",0,0,0.05,2,392642,0.44,0Y 4M,No,6786,16464,Medium,22627,Standard
C000070,19,210117,15647,8,0,23.2,2,"Business Loan, Auto Loan",4,4,0.88,3,19193,0.75,0Y 7M,No,498,2329,Low,7453,Poor
C000071,23,1358428,111905,10,5,20.7,3,"Credit Builder Loan, Personal Loan, Education Loan",0,0,0.61,2,249366,0.87,0Y 6M,Yes,3994,0,High,67623,Good
C000072,59,1305061,113901,7,4,16.3,3,"Credit Builder Loan, Personal Loan, Education Loan",0,0,0.37,2,332453,0.69,41Y 6M,Yes,6611,0,High,62589,Good
C000073,21,887563,78321,11,6,22.3,3,"Business Loan, Education Loan, Home Loan",0,0,0.18,7,230329,0.47,0Y 0M,Yes,3328,10887,Medium,34151,Good
C000074,46,210332,17812,1,5,7.0,5,"Auto Loan, Credit Builder Loan, Home Loan, Business Loan, Education Loan",0,0,0.4,7,58369,0.24,23Y 0M,Yes,1113,3040,Medium,5913,Good
C000075,35,704920,55948,6,6,16.3,2,"Business Loan, Credit Builder Loan",0,0,0.51,4,195889,0.28,11Y 7M,Yes,4350,0,High,29310,Good
C000076,43,853712,72339,2,7,11.4,5,"Auto Loan, Business Loan, Credit Builder Loan, Home Loan, Personal Loan",0,0,0.66,2,270337,0.51,19Y 4M,No,6112,0,Medium,33914,Standard
C000077,61,1359056,118156,8,6,6.2,1,Credit Builder Loan,0,0,0.33,2,305933,0.21,43Y 7M,Yes,7616,14506,High,57953,Good
C000078,51,1157342,105831,10,1,17.8,0,None,12,5,0.66,2,134318,0.63,32Y 0M,No,3287,0,Low,65331,Poor
C000079,27,761445,54519,8,1,18.5,1,Credit Builder Loan,13,7,0.41,4,114588,0.67,5Y 2M,No,3277,0,Low,34533,Poor
C000080,53,1408403,97810,7,0,17.2,1,Home Loan,0,0,0.54,2,212440,0.48,29Y 4M,Yes,4088,0,High,29858,Good
C000081,31,1174602,88574,8,5,13.4,4,"Auto Loan, Home Loan, Business Loan, Credit Builder Loan",5,4,0.85,2,349577,0.57,8Y 7M,Yes,4928,0,Low,48215,Poor
C000082,48,852240,57379,1,3,21.3,1,Home Loan,6,5,0.5,2,130108,0.72,27Y 11M,Yes,3078,0,Medium,30701,Standard
C000083,65,448987,30657,8,4,12.5,2,"Business Loan, Auto Loan",0,0,0.96,6,65340,0.66,44Y 8M,Yes,1140,0,Medium,16062,Standard
C000084,32,621530,50106,1,1,17.5,4,"Personal Loan, Education Loan, Auto Loan, Credit Builder Loan",0,0,0.52,3,160515,0.73,12Y 1M,Yes,2741,3809,Medium,25233,Standard
C000085,25,188930,15147,3,1,24.9,5,"Auto Loan, Business Loan, Education Loan, Home Loan, Credit Builder Loan",17,7,0.97,2,32353,0.58,1Y 2M,No,677,1725,Medium,5255,Poor
C000086,31,518084,37270,4,1,22.1,4,"Education Loan, Auto Loan, Home Loan, Credit Builder Loan",0,0,0.26,5,184207,0.51,6Y 3M,No,5396,6640,Medium,13808,Poor
C000087,40,368729,27773,3,1,18.2,1,Credit Builder Loan,0,0,0.6,6,68139,0.64,17Y 4M,Yes,1219,4632,Medium,5792,Standard
C000088,57,1125648,101684,2,7,18.8,2,"Education Loan, Personal Loan",0,0,0.04,6,201545,0.63,39Y 3M,Yes,2252,13583,High,40784,Good
C000089,38,1239346,84902,11,5,22.0,4,"Education Loan, Credit Builder Loan, Business Loan, Personal Loan",0,0,0.38,1,432607,0.89,20Y 6M,No,9474,5852,High,31424,Good
C000090,33,786045,55870,11,0,9.3,3,"Home Loan, Credit Builder Loan, Business Loan",14,1,0.34,6,234543,0.16,10Y 4M,No,5009,4373,Medium,7429,Poor
C000091,62,1228734,109534,3,1,8.1,4,"Education Loan, Personal Loan, Home Loan, Credit Builder Loan",0,0,0.81,4,199881,0.42,37Y 1M,No,4406,0,Medium,29268,Good
C000092,35,653646,55528,9,4,10.2,5,"Auto Loan, Credit Builder Loan, Education Loan, Home Loan, Business Loan",0,0,1.0,5,205400,0.64,14Y 9M,No,3874,6492,High,8780,Standard
C000093,64,1092894,93108,2,0,20.1,0,None,20,2,0.8,0,61301,0.13,41Y 6M,No,970,11445,Low,38630,Poor
C000094,41,1084260,96439,5,5,20.6,5,"Auto Loan, Personal Loan, Education Loan, Home Loan, Business Loan",0,0,0.12,0,286408,0.48,19Y 4M,Yes,8156,0,High,55018,Good
C000095,43,1089475,95369,3,7,6.5,1,Education Loan,26,1,0.57,3,90770,0.89,25Y 11M,No,1203,18780,Low,24185,Poor
C000096,42,1074575,89009,9,1,7.1,3,"Business Loan, Home Loan, Credit Builder Loan",0,0,0.39,1,127590,0.24,20Y 9M,No,3573,0,Medium,51896,Good
C000097,62,327589,29026,7,5,24.6,1,Credit Builder Loan,0,0,0.02,6,35031,0.33,38Y 10M,Yes,442,1497,Medium,15535,Good
C000098,58,1021243,69773,10,4,15.3,5,"Business Loan, Home Loan, Credit Builder Loan, Education Loan, Personal Loan",11,5,0.57,5,318853,0.44,35Y 0M,No,5662,13583,Low,7032,Poor
C000099,46,156586,11393,3,2,16.2,0,None,0,0,0.5,4,15058,0.35,23Y 6M,Yes,268,1236,Medium,1982,Good
C000100,32,897661,61931,2,2,17.6,5,"Education Loan, Credit Builder Loan, Business Loan, Home Loan, Auto Loan",0,0,0.83,6,139031,0.24,7Y 4M,Yes,1629,11879,High,24494,Good
C000101,62,711023,48063,2,7,24.3,1,Home Loan,9,7,0.32,3,55550,0.43,39Y 8M,Yes,723,0,Medium,22959,Standard
C000102,18,347430,23825,5,4,9.0,3,"Auto Loan, Education Loan, Home Loan",13,4,0.93,4,61063,0.38,0Y 3M,Yes,986,4512,Low,2827,Poor
C000103,42,1297101,97618,9,7,18.0,0,None,0,0,0.05,1,224485,0.88,20Y 5M,Yes,4354,13380,Medium,21930,Good
C000104,24,976080,69086,2,1,7.4,3,"Education Loan, Personal Loan, Credit Builder Loan",0,0,0.04,0,233382,0.66,3Y 4M,Yes,4657,0,High,32568,Good
C000105,26,362151,28876,2,1,15.8,0,None,9,7,0.37,5,59811,0.55,8Y 9M,No,679,5719,Low,3315,Poor
C000106,41,634715,42699,8,7,14.4,0,None,23,1,0.26,7,114001,0.38,18Y 2M,No,3304,4454,Low,12089,Poor
C000107,18,1497376,124324,3,0,11.1,4,"Personal Loan, Education Loan, Business Loan, Home Loan",0,0,0.74,1,145448,0.79,0Y 0M,Yes,3912,20266,Medium,34807,Good
C000108,61,169654,15466,3,1,14.4,5,"Auto Loan, Personal Loan, Credit Builder Loan, Home Loan, Business Loan",0,0,0.91,7,30870,0.13,42Y 6M,No,334,1767,Medium,6350,Standard
C000109,25,881013,72711,6,0,19.3,3,"Credit Builder Loan, Personal Loan, Home Loan",23,7,0.53,3,110259,0.27,0Y 10M,Yes,2050,5463,Medium,15991,Standard
C000110,41,804405,54137,6,1,22.0,0,None,0,0,0.13,3,47268,0.61,19Y 11M,No,1289,9756,Medium,12697,Standard
C000111,28,1285189,112778,6,5,20.9,0,None,0,0,0.54,2,166816,0.1,9Y 0M,Yes,4374,12289,High,31131,Good
C000112,68,693270,47291,5,3,17.1,2,"Home Loan, Business Loan",0,0,0.5,4,72602,0.61,43Y 11M,Yes,758,3937,High,26672,Good
C000113,34,231848,16253,4,3,23.0,5,"Education Loan, Business Loan, Auto Loan, Home Loan, Personal Loan",0,0,0.16,2,27409,0.81,15Y 0M,Yes,530,2215,High,5717,Standard
C000114,25,1046009,92009,9,4,19.2,3,"Auto Loan, Home Loan, Business Loan",0,0,0.02,6,146236,0.36,3Y 3M,Yes,2409,6594,Medium,41448,Good
C000115,52,229874,19780,11,6,21.9,2,"Credit Builder Loan, Auto Loan",0,0,0.36,7,55414,0.89,31Y 8M,Yes,1336,3686,High,3867,Good
C000116,52,442317,37352,4,6,13.6,0,None,18,6,0.99,3,73843,0.69,27Y 11M,Yes,1143,3819,Medium,21080,Poor
C000117,50,187525,14536,1,6,19.3,2,"Education Loan, Home Loan",17,3,0.9,0,18450,0.38,27Y 0M,No,517,1257,Low,7206,Poor
C000118,22,1225904,93527,8,5,7.4,1,Business Loan,0,0,0.96,3,221563,0.33,2Y 4M,Yes,5845,9253,High,44941,Good
C000119,59,292432,25997,11,6,24.2,5,"Auto Loan, Business Loan, Home Loan, Personal Loan, Education Loan",0,0,0.21,3,40135,0.7,34Y 7M,Yes,581,0,High,9734,Good
C000120,56,266242,21138,8,3,18.0,3,"Education Loan, Business Loan, Personal Loan",0,0,0.87,5,40732,0.13,37Y 6M,No,847,1975,Medium,6982,Standard
C000121,58,257576,19001,11,6,22.3,3,"Personal Loan, Auto Loan, Credit Builder Loan",27,3,0.49,1,69080,0.43,35Y 7M,No,952,0,Low,11311,Poor
C000122,45,325966,25645,3,2,15.2,1,Auto Loan,0,0,0.91,5,70435,0.56,27Y 7M,Yes,1462,0,High,10880,Good
C000123,24,902746,75816,9,2,6.6,5,"Personal Loan, Education Loan, Auto Loan, Credit Builder Loan, Business Loan",1,2,0.23,5,265592,0.14,0Y 8M,No,3654,14124,Medium,6446,Standard
C000124,26,1215047,101070,7,6,15.3,1,Education Loan,26,5,0.43,0,179131,0.26,3Y 6M,Yes,3374,0,Medium,37779,Good
C000125,25,939135,64684,7,6,19.8,2,"Personal Loan, Home Loan",0,0,0.26,1,131687,0.19,4Y 11M,Yes,3614,9807,High,26099,Good
C000126,29,1406335,108863,5,0,7.2,1,Home Loan,0,0,0.06,7,260817,0.81,6Y 5M,Yes,3100,0,Medium,72236,Standard
C000127,51,1381218,123984,3,7,7.9,0,None,26,4,0.44,0,225495,0.75,33Y 9M,Yes,5515,7391,Low,66363,Poor
C000128,50,635750,49918,10,2,7.0,1,Education Loan,0,0,0.04,4,113341,0.44,25Y 11M,No,3079,8733,Medium,15024,Standard
C000129,65,1399331,97456,5,1,8.3,2,"Business Loan, Credit Builder Loan",0,0,0.71,3,367696,0.31,40Y 11M,Yes,10330,7774,Medium,41578,Good
C000130,40,1001956,80718,3,0,17.7,4,"Home Loan, Credit Builder Loan, Auto Loan, Personal Loan",0,0,0.48,5,231099,0.63,16Y 5M,Yes,3692,13757,High,18208,Good
C000131,41,1102019,97248,3,5,22.6,3,"Personal Loan, Auto Loan, Credit Builder Loan",0,0,0.75,3,227089,0.52,22Y 1M,Yes,4723,19065,Medium,22407,Good
C000132,54,879128,74989,1,3,14.9,1,Home Loan,0,0,0.65,6,152352,0.58,32Y 7M,Yes,1576,0,Medium,39737,Good
C000133,52,689439,52282,4,6,21.4,5,"Auto Loan, Personal Loan, Business Loan, Home Loan, Credit Builder Loan",0,0,0.63,3,136557,0.55,28Y 3M,No,2800,4136,High,19337,Standard
C000134,61,1247766,112713,9,3,13.6,4,"Business Loan, Personal Loan, Home Loan, Credit Builder Loan",0,0,0.96,5,280666,0.56,39Y 5M,Yes,4013,16285,Medium,25189,Good
C000135,57,620028,42420,6,2,22.3,1,Business Loan,0,0,0.18,3,89496,0.67,36Y 11M,Yes,1835,5008,High,20755,Good
C000136,39,730483,56253,6,2,9.0,0,None,5,6,0.85,3,66523,0.14,15Y 7M,Yes,1651,0,Medium,30684,Standard
C000137,44,1062991,80985,6,1,16.9,3,"Personal Loan, Home Loan, Auto Loan",0,0,0.75,2,105823,0.31,26Y 8M,No,1790,11061,Medium,39114,Good
C000138,52,514385,40749,5,3,15.9,3,"Personal Loan, Home Loan, Business Loan",27,6,0.48,7,116507,0.52,33Y 11M,Yes,3414,0,Medium,13303,Poor
C000139,18,1041622,71634,2,6,8.0,4,"Credit Builder Loan, Business Loan, Auto Loan, Education Loan",0,0,0.21,7,251027,0.22,0Y 2M,Yes,4682,4478,High,27452,Good
C000140,52,445120,37437,5,7,10.5,1,Personal Loan,0,0,0.24,1,62245,0.22,32Y 9M,Yes,935,5201,Medium,11659,Good
C000141,54,1199175,103908,11,2,15.2,0,None,6,3,0.11,0,177973,0.1,31Y 1M,Yes,1836,19858,Medium,46317,Good
C000142,64,601164,44697,10,3,20.7,0,None,0,0,0.48,2,33473,0.9,42Y 3M,Yes,417,4993,Medium,10643,Good
C000143,31,1458333,124311,3,3,23.2,5,"Business Loan, Auto Loan, Personal Loan, Home Loan, Credit Builder Loan",0,0,0.74,4,430317,0.56,10Y 4M,Yes,7096,24649,Medium,32229,Good
C000144,20,996299,71252,10,2,20.0,2,"Business Loan, Education Loan",0,0,0.9,7,124620,0.34,0Y 10M,No,2962,0,High,23417,Standard
C000145,18,1464429,101186,11,3,11.6,2,"Personal Loan, Home Loan",0,0,0.64,6,268813,0.44,0Y 1M,Yes,3824,6666,Medium,55912,Good
C000146,22,1454684,128668,2,2,8.0,0,None,0,0,0.75,0,258246,0.32,0Y 8M,No,3579,15402,Medium,40522,Standard
C000147,43,1091614,89033,4,6,16.0,0,None,0,0,0.98,7,190505,0.68,20Y 11M,Yes,4724,15845,High,30386,Good
C000148,31,461509,31947,10,6,12.5,4,"Home Loan, Education Loan, Personal Loan, Credit Builder Loan",18,5,0.97,5,76986,0.77,9Y 7M,Yes,1239,6196,Medium,7602,Poor
C000149,56,417867,34345,9,4,16.7,2,"Home Loan, Personal Loan",0,0,1.0,4,90522,0.46,36Y 11M,Yes,999,5034,Medium,16499,Good
C000150,44,598920,46532,7,2,13.6,1,Auto Loan,0,0,0.46,7,84495,0.66,24Y 8M,No,1378,5577,Medium,14239,Standard
C000151,26,422460,35195,10,3,13.2,1,Credit Builder Loan,0,0,0.24,2,41282,0.27,1Y 11M,Yes,842,2203,High,20239,Good
C000152,32,1304852,110485,9,4,23.3,2,"Personal Loan, Auto Loan",0,0,0.83,3,247770,0.19,8Y 4M,Yes,4671,8877,High,36513,Good
C000153,32,965265,78424,3,6,18.7,1,Credit Builder Loan,6,2,0.09,3,65100,0.47,9Y 1M,No,1448,5175,Low,17746,Poor
C000154,43,408512,30313,2,3,18.7,4,"Education Loan, Business Loan, Credit Builder Loan, Personal Loan",16,7,0.19,4,128748,0.85,22Y 4M,Yes,2070,0,Medium,15628,Poor
C000155,59,1288613,91999,9,3,8.5,5,"Home Loan, Credit Builder Loan, Business Loan, Personal Loan, Education Loan",8,4,0.41,1,338969,0.82,38Y 5M,Yes,5821,0,Low,54411,Poor
C000156,30,1050282,80296,6,7,13.4,1,Business Loan,24,5,0.25,4,209107,0.41,7Y 8M,No,5550,0,Low,30236,Poor
C000157,68,1317217,107978,10,4,20.5,4,"Home Loan, Personal Loan, Auto Loan, Education Loan",2,5,0.41,4,410629,0.56,43Y 5M,Yes,8903,5545,Low,55660,Standard
C000158,49,269271,17998,4,5,16.8,1,Auto Loan,0,0,0.24,0,54057,0.72,25Y 7M,Yes,1350,1225,High,9140,Good
C000159,56,391170,32323,4,1,14.7,3,"Home Loan, Personal Loan, Business Loan",0,0,0.97,6,54216,0.67,36Y 3M,Yes,1258,4258,Medium,11098,Standard
C000160,66,882555,73565,10,4,24.5,1,Home Loan,0,0,0.92,0,191273,0.51,47Y 11M,Yes,3483,0,Medium,33116,Good
C000161,69,467531,41845,10,6,8.6,1,Personal Loan,0,0,0.26,0,74475,0.74,45Y 11M,Yes,2178,3411,High,20407,Good
C000162,49,151634,11891,6,5,9.1,2,"Auto Loan, Credit Builder Loan",0,0,0.04,4,18561,0.25,28Y 8M,Yes,507,1266,High,4347,Good
